"name","symbol","keyword","flowering_time_effect","conditions_for_effect","phenotype","agi","appears_in","key_articles"
"DICER-LIKE 4","DCL4","General","Positive","SD and LD","Multiple mutant: dcl1;dcl4 multiple mutant is late flowering under both SD and LD conditions. [Gasciolli et al., 2005] Multiple mutant: dcl3;dcl4 multiple mutant is late flowering under both SD and LD conditions. [Gasciolli et al., 2005] Remarks : dcl4 single mutant has lower microRNA expression levels, and this phenotype is enhanced in dcl1;dcl4 double mutant. [Gasciolli et al., 2005]","AT5G20320","General processes & autonomous pathway","Gasciolli V et al., 2005, Curr. Biol.Xie Z et al., 2005, Proc. Natl. Acad. Sci. U.S.A.Dunoyer P et al., 2005, Nat. Genet.Deleris A et al., 2006, ScienceLiu F et al., 2012, ScienceTsuzuki M et al., 2014, RNANagano H et al., 2014, Nucleic Acids Res."
"DNAJ HOMOLOG 3","ATJ3","General","Positive","SD and LD","Single mutant: atj3 single mutant is late flowering under both SD and LD conditions. [Shen et al., 2011] artificial microRNA:Downregulation of ATJ3 expression by an artificial microRNA leads to late flowering under both SD and LD conditions.[Shen et al., 2011] Overexpressor: ATJ3 overexpressor has a normal flowering time.[Shen et al., 2011]","AT3G44110","General processes & autonomous pathway","Yang Y et al., 2010, Plant CellShen L et al., 2011, Plant CellShen L et al., 2011, Plant Signal Behav"
"EARLY BOLTING IN SHORT DAYS","EBS","Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: ebs single mutant is early flowering under both SD and LD conditions [López-González et al., 2014][Gómez-Mena et al., 2001][Piñeiro et al., 2003] Multiple mutant: ebs;shl double mutant has additive effects: the double mutant flowers earlier than either single mutants. [López-González et al., 2014]","AT4G22140","Time-course regulation of photoperiodic pathway","Gómez-Mena C et al., 2001, Plant CellPiñeiro M et al., 2003, Plant CellLópez-González L et al., 2014, Plant Cell"
"EARLY FLOWERING 3","ELF3","Circadian Clock Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: elf3 single mutant is early flowering under both SD and LD conditions.[Zagotta et al., 1996][Liu et al., 2001][Lu et al., 2012] Overexpressor: ELF3 overexpressor is late flowering under LD conditions only. [Liu et al., 2001] Remarks : elf3-1 single mutant is phototoperiod-insensitive, misexpresses GIGANTEA, and flowers at the same time under both SD and LD conditions. [Liu et al., 2001][Fowler et al., 1999]","AT2G25930","Temperature pathwayCircadian clock overviewPhotoperiod pathway","Hicks K A et al., 1996, ScienceZagotta M T et al., 1996, Plant J.McWatters H G et al., 2000, NatureLiu X L et al., 2001, Plant CellCovington M F et al., 2001, Plant CellKim W et al., 2005, Plant Physiol.Lu S X et al., 2012, Plant Physiol.Box M S et al., 2015, Curr. Biol."
"EARLY FLOWERING 4","ELF4","Circadian Clock Photoperiodism, light perception and  signaling","Negative","SD and LD","Single mutant: elf4 single mutant is late flowering under both SD and LD conditions. ( The phenotype is stronger under SD than LD conditions.) [Doyle et al., 2002][McWatters et al., 2007] Overexpressor: ELF4 overexpressor is late flowering under LD conditions only. [McWatters et al., 2007] Remarks : ELF4 protein interacts with GIGANTEA to sequester it from the nucleoplasm. [Kim et al., 2013]","AT2G40080","Temperature pathwayCircadian clock overviewPhotoperiod pathway","Doyle M R et al., 2002, NatureKikis E A et al., 2005, Plant J.McWatters H G et al., 2007, Plant Physiol.Kim Y et al., 2013, Cell Rep"
"EARLY FLOWERING 6","ELF6","General","Negative","SD and LD","Single mutant: elf6 single mutant is early flowering under both SD and LD conditions.[Noh et al., 2004] Overexpressor: ELF6 overexpressor does not have a flowering-time phenotype. ( Analysis performed in the Ws background.)[Noh et al., 2004]","AT5G04240","Time-course regulation of photoperiodic pathwayGeneral processes & autonomous pathway","Noh B et al., 2004, Plant CellYu X et al., 2008, Proc. Natl. Acad. Sci. U.S.A.Jeong J et al., 2009, PLoS ONECrevillén P et al., 2014, Nature"
"EARLY FLOWERING 7","ELF7","General","Negative","SD and LD","Single mutant: elf7 single mutant is early flowering under both SD and LD conditions.[He et al., 2004] Remarks: elf7 mutation supresses the FLC-dependent late flowering of the Col FRI background. elf7 single mutant has reduced FLC expression levels. [He et al., 2004] Remarks: Remarks","AT1G79730","FLC regulation through protein complexesGeneral processes & autonomous pathway","He Y et al., 2004, Genes Dev."
"EARLY FLOWERING 8, VERNALIZATION INDEPENDENCE 6","ELF8, VIP6","General","Negative","SD and LD","Single mutant: elf8 single mutant is early flowering under both SD and LD conditions.[He et al., 2004][Gu et al., 2009] Remarks: elf8 mutation supresses the FLC-dependent late flowering of the Col FRI background. ELF8 also affects flowering through the regulation of other MADS-box genes. [He et al., 2004] Remarks: elf8 single mutant has reduced FLC expression levels. [He et al., 2004][Zhang et al., 2003] Remarks: ELF8 encodes a component of the Paf1c complex, which is involved in the postivie regulation of FLC expression.. [Yu et al., 2010]","AT2G06210","FLC regulation through protein complexesGeneral processes & autonomous pathway","He Y et al., 2004, Genes Dev.Oh S et al., 2004, Plant CellLiu Y et al., 2011, PLoS ONE"
"EARLY FLOWERING IN SHORT DAYS , SET DOMAIN GROUP 8","EFS, SDG8","General","Negative","SD and LD","Single mutant: efs single mutant is late flowering under both SD and LD conditions. [Soppe et al., 1999][Kim et al., 2005] Remarks: efs single mutant has reduced FLC expression levels. [Kim et al., 2005]","AT1G77300","Time-course regulation of photoperiodic pathwayFLC regulation through protein complexesGeneral processes & autonomous pathway","Soppe W J et al., 1999, DevelopmentKim S Y et al., 2005, Plant CellXu L et al., 2008, Mol. Cell. Biol.Ko J et al., 2010, EMBO J.Bassel G W et al., 2011, Proc. Natl. Acad. Sci. U.S.A."
"EARLY FLOWERING MYB FLOWERING","EFM","Ambient temperature","Negative","SD and LD","Single mutant: efm single mutant is early flowering under both SD and LD conditions.[Yan et al., 2014] Overexpressor: EFM overexpressor is late flowering under LD conditions. (No data under SD conditions.)[Yan et al., 2014] artificial microRNA: amiRNA downregulation of EFM expression leads to early flowering under LD conditions. (No data under SD conditions.) [Yan et al., 2014] Remarks: EFM is positively regulated by SVP and partially mediates reponses to ambient temperature. [Yan et al., 2014]","AT2G03500","Temperature pathway","Yan Y et al., 2014, Dev. Cell"
"EARLY IN SHORT DAYS 4","ESD4","General","Negative","SD and LD","Single mutant: esd4 single mutant is early flowering under both SD and LD conditions. ( Analysis performed in the Ler Background). [Reeves et al., 2002][Murtas et al., 2003][Villajuana-Bonequi et al., 2014] Overexpressor: Overexpression of ESD4 does not lead to any flowering-time phenotype. [Murtas et al., 2003]","AT4G15880","General processes & autonomous pathway","Reeves P H et al., 2002, DevelopmentMurtas G et al., 2003, Plant CellHermkes R et al., 2011, PlantaVillajuana-Bonequi M et al., 2014, Plant J."
"EARLY IN SHORT DAYS 6, HIGH EXPRESSION OF OSMOTICALLY RESPONSIVE GENES 1","ESD6, HOS1","Photoperiodism, light perception and  signaling","Positive","SD and LD","Single mutant: hos1 single mutant is late flowering under both SD and LD conditions [Lee et al., 2001][Lazaro et al., 2012][Lee et al., 2012][Jung et al., 2012][Lazaro et al., 2015] Remarks: hos1 single mutant has reduced FLC expression levels. [Lee et al., 2001] Remarks: HOS1 is involved in the red-light mediated degradation of CO. [Lazaro et al., 2015] Remarks: hos1 and phyb mutations have additive effects and the double mutant flowers earlier than either single mutants. [Lazaro et al., 2015]","AT2G39810","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Ishitani M et al., 1998, Plant CellLee H et al., 2001, Genes Dev.Zarka D G et al., 2003, Plant Physiol.Dong C et al., 2006, Proc. Natl. Acad. Sci. U.S.A.Lazaro A et al., 2012, Plant CellJung J et al., 2012, J. Biol. Chem.Lee J H et al., 2012, Plant Cell Physiol.Lazaro A et al., 2015, Plant Cell"
"EARLY IN SHORT DAYS 7 , TILTED 1 , ABA OVERLY SENSITIVE 4","ESD7, TIL1, ABO4","General","Negative","SD and LD","Single mutant: esd7 single mutant is lethal. esd7 hypomorphic single mutant is early flowering under both SD and LD conditions. [del Olmo et al., 2010][Yin et al., 2009]","AT1G08260","General processes & autonomous pathway","Conway L J et al., 1997, Proc. Natl. Acad. Sci. U.S.A.Ronceret A et al., 2005, Plant J.Yin H et al., 2009, Plant Celldel Olmo I et al., 2010, Plant J."
"EMBRYONIC FLOWER 1","EMF1","General","Negative","SD and LD","Single mutant: emf1 single mutant is extremely early flowering under both SD and LD conditions.[Yang et al., 1995][Sánchez et al., 2009] RNA interference : RNAi downregulation of EMF1 leads to an early flowering phenotype under both SD and LD conditions. [Wang et al., 2014][Aubert et al., 2001] Overexpressor: Overexpression of sense EMF1 transcripts does not lead to any flowering-time phenotype. [Aubert et al., 2001] Remarks : EMF1 is a subunit of a Polycomb repressive complex, which is involved in the repression of FT expression, thus preventing photoperiod-independent flowering. EMF1 also regulates AG, AP3, PI, SPLs, and MIR172 expression.","AT5G11530","Mains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Yang C H et al., 1995, Dev. Biol.Aubert D et al., 2001, Plant CellChou M L et al., 2001, Plant Cell Physiol.Calonje M et al., 2008, Plant CellSánchez R et al., 2009, Mol PlantKim S Y et al., 2010, Plant Physiol.Kim S Y et al., 2012, PLoS Genet.Wang Y et al., 2014, Dev. Cell"
"EMBRYONIC FLOWER 2, CYTOKININ RESISTANT 1","EMF2, CYR1","General","Negative","SD and LD","Single mutant: emf2 single mutant is extremely early flowering under both SD and LD conditions.[Yang et al., 1995][Haung et al., 1998] RNA interference : RNAi downregulation of EMF2 leads to an early flowering phenotype under both SD and LD conditions. [Yoshida et al., 2001] Overexpressor: Overexpression of sense EMF2 transcripts does not lead to any flowering-time phenotype. [Yoshida et al., 2001] Remarks: Remarks","AT5G51230","Mains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Yang C H et al., 1995, Dev. Biol.Haung M D et al., 1998, Plant Cell Physiol.Yoshida N et al., 2001, Plant CellKim S Y et al., 2010, Plant Physiol.Müller-Xing R et al., 2014, Plant Cell"
"ENHANCER OF AG-4 1","HUA1","Flower development and meristem identity",,"None","Multiple mutant: hua1;hua2 multiple mutant shows developmental flower defects. [Li et al., 2001][Western et al., 2002][Chen et al., 1999][Cheng et al., 2003] Remarks: HUA1 is involved in the control of AGAMOUS mRNA processing. [Cheng et al., 2003] Single mutant: hua1 single mutant does not display any flowering-time phenotype and does not show any flower development defect. [Chen et al., 1999]","AT3G12680",,"Chen X et al., 1999, Mol. CellLi J et al., 2001, Plant CellCheng Y et al., 2003, Dev. Cell"
"ENHANCER OF AG-4 2","HUA2","General","Negative","SD and LD","Single mutant: hua2 single mutant is early flowering under both SD and LD conditions. [Wang et al., 2007][Doyle et al., 2005][Jali et al., 2014][Ilk et al., 2015] Overexpressor: HUA2 overexpressor is late flowering under both SD and LD conditions. [Wang et al., 2007] Remarks: hua2 single mutant has reduced FLC expression levels while HUA2 overexpressor has increased FLC expression levels. [Wang et al., 2007] Remarks: hua2 mutation enhances the early-flowering phenotype of the elf4 mutant and largely suppresses the late flowering-time phenotype of Col FRI background. [Doyle et al., 2005] Remarks: HUA2 is involved in the control of AGAMOUS mRNA processing. [Cheng et al., 2003] Multiple mutant: hua1;hua2 multiple mutant shows developmental flower defects. [Li et al., 2001][Western et al., 2002][Chen et al., 1999][Cheng et al., 2003]","AT5G23150","General processes & autonomous pathway","Chen X et al., 1999, Mol. CellWestern T L et al., 2002, DevelopmentCheng Y et al., 2003, Dev. CellDoyle M R et al., 2005, Plant J.Wang Q et al., 2007, Curr. Biol.Ilk N et al., 2015, New Phytol."
"FCA","FCA","Ambient temperature General","Positive","SD and LD","Single mutant: fca single mutant is late flowering under both SD and LD conditions. [Martinez-Zapater et al., 1990][ et al., ][Macknight et al., 1997][Reeves et al., 2002][Sheldon et al., 2000] Overexpressor: The overexpression of FCA leads to a slight but reproducible early-flowering phenotype under both SD and LD conditions. [Macknight et al., 1997][Macknight et al., 2002] Remarks: FCA acts together with FPA to prevent the expression of distally polyadenylated antisense RNAs from the FLC locus. [Michaels et al., 2001][Duc et al., 2013] Remarks: FCA requires FY and FLD to repress the expression of FLC through H3K4 demethylation. Its function also relies partially on DCL3. [Liu et al., 2007]","AT4G16280","Temperature pathwayAging pathwayVernalizationGeneral processes & autonomous pathway","Martinez-Zapater J M et al., 1990, Plant Physiol.Macknight R et al., 1997, CellMacknight R et al., 2002, Plant CellQuesada V et al., 2003, EMBO J.Bäurle I et al., 2007, ScienceLiu F et al., 2007, Mol. CellSonmez C et al., 2011, Proc. Natl. Acad. Sci. U.S.A.Liu F et al., 2012, ScienceJung J et al., 2012, J. Biol. Chem.Lee H et al., 2014, Nat Commun"
"FD","FD","Photoperiodism, light perception and  signaling","Positive","LD only","Single mutant: fd single mutant is late flowering under LD conditions only. ( fd single mutant seems also slightly late flowering under SD conditions.) [Abe et al., 2005][Wigge et al., 2005][Jaeger et al., 2013] Overexpressor: FD overexpressor is slightly late flowering under both SD and LD conditions.[Abe et al., 2005] Multiple mutant: Compared to single mutants,fd;fdp double mutant is late flowering under both SD and LD conditions. (The early flowering caused by FT overexpression is nearly totally suppressed in fd;fdp multiple mutant.)[Jaeger et al., 2013] Remarks: In the shoot apical meristemFD interacts with either FT or TSF to induce the expression of floral identify genes. [Abe et al., 2005][Wigge et al., 2005]","AT4G35900","OverviewTemperature pathwayHormone pathwayAging pathwayPhotoperiod pathwaySugar pathwayMains targets of ABC(E)genesSpecification of flower mersitemsVernalization","Abe M et al., 2005, ScienceWigge P A et al., 2005, ScienceJang S et al., 2009, Plant J.Jaeger K E et al., 2013, Plant Cell"
"FD PARALOG, BASIC REGION/LEUCINE ZIPPER MOTIF 27","FDP, BZIP27","Photoperiodism, light perception and  signaling","Positive","LD [no data under SD]","Single mutant: fdp single mutant is late flowering under LD conditions. (No data under SD conditions.) [Jaeger et al., 2013]Multiple mutant: Compared to single mutants,fd;fdp double mutant is late flowering under both SD and LD conditions. (The early flowering caused by FT overexpression is nearly totally suppressed in fd;fdp multiple mutant.)[Jaeger et al., 2013] Remarks: In the shoot apical meristem, FDP interacts with either FT or TSF to induce the expression of floral identify genes. [Abe et al., 2005][Wigge et al., 2005]","AT2G17770","Temperature pathwayHormone pathwayAging pathwayPhotoperiod pathwaySugar pathway","Abe M et al., 2005, ScienceJang S et al., 2009, Plant J.Jaeger K E et al., 2013, Plant Cell"
"FERTILIZATION-INDEPENDENT ENDOSPERM 1 , FERTILIZATION INDEPENDENT SEED 3","FIE1, FIS3","General","Negative","LD [no data under SD]","Remarks: FIE1 encodes a subunit of the PRC2 complex, which is involved in the negative regulation of FLC expression. FIE1 is also involved in FT repression. Co-suppression of FIE expression leads to increased FLC expression levels. [Jiang et al., 2008] Single mutant: Conflicting results. fie1 single mutant flowers very early under LD conditions. However, RNAi downregulation of FIE1 expression leads to a late-flowering phenotype. ( No data under SD conditions.)[Jiang et al., 2008][Wood et al., 2006]","AT3G20740","Mains targets of ABC(E)genesFLC regulation through protein complexesGeneral processes & autonomous pathway","Ohad N et al., 1996, Proc. Natl. Acad. Sci. U.S.A.Ohad N et al., 1999, Plant CellYadegari R et al., 2000, Plant CellLuo M et al., 2000, Proc. Natl. Acad. Sci. U.S.A.Katz A et al., 2004, Plant J.Jiang D et al., 2008, PLoS ONEMosquna A et al., 2009, Development"
"FIONA 1","FIO1","Circadian Clock","Negative","SD and LD","Single mutant: fio1 single mutant is early flowering under both SD and LD conditions.[Kim et al., 2008] Remarks: fio1 mutation affects period length of various circadian output rhythms and has higher CO expression levels. [Kim et al., 2008] Overexpressor: FIO1 overexpressor does not display any flowering-time phenotype. [Kim et al., 2008]","AT2G21070","Circadian clock overview","Kim J et al., 2008, Plant Cell"
"FLAVIN-BINDING, KELCH REPEAT, F BOX 1 , ADAGIO 3","FKF1, ADO3","Photoperiodism, light perception and  signaling","Positive","SD only","Single mutant: fkf1 single mutant is late flowering under LD conditions only.[Nelson et al., 2000][Fornara et al., 2009][Song et al., 2012][Imaizumi et al., 2005] Remarks: FKF1 protein binds to CONSTANS and stabilize it during LD afternoon. FKF1 also interacts with GI. [Song et al., 2014] Remarks: Overexpression of GI partially supresses the flowering-time phenotype of the fkf1 single mutant. [Fornara et al., 2009] Overexpressor: FKF1 overexpressor does not display any flowering-time phenotype. [Sawa et al., 2007]","AT1G68050","Circadian clock overviewPhotoperiod pathwayTime-course regulation of photoperiodic pathway","Nelson D C et al., 2000, CellImaizumi T et al., 2003, NatureImaizumi T et al., 2005, ScienceSawa M et al., 2007, ScienceBaudry A et al., 2010, Plant CellSong Y H et al., 2012, ScienceSong Y H et al., 2014, Proc. Natl. Acad. Sci. U.S.A."
"FLC EXPRESSOR","FLX","Vernalization","Negative","SD and LD","Single mutant: flx single mutant is early flowering under both SD and LD conditions. [Andersson et al., 2008][Lee et al., 2013] Remarks: flx single mutant has reduced FLC expression levels. [Andersson et al., 2008][Lee et al., 2013]","AT2G30120","FLC regulation through protein complexes","Wang Y et al., 2008, Plant Physiol.Andersson C R et al., 2008, Plant Cell Physiol.Ding L et al., 2013, Plant Physiol.Lee J et al., 2013, Nat Commun"
"FLOWERING BHLH 1","FBH1","Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: FBH1 overexpressor is early flowering under both SD and LD conditions. [Ito et al., 2012] Remarks : FBH family members positively regulate the expression of CO.[Ito et al., 2012]","AT1G35460","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Ito S et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Nagel D H et al., 2014, Proc. Natl. Acad. Sci. U.S.A."
"FLOWERING BHLH 2","FBH2","Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: FBH2 overexpressor is early flowering under both SD and LD conditions. [Ito et al., 2012] Remarks : FBH family members positively regulate the expression of CO.[Ito et al., 2012]","AT4G09180","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Ito S et al., 2012, Proc. Natl. Acad. Sci. U.S.A."
"FLOWERING BHLH 3  , ABA-RESPONSIVE KINASE SUBSTRATE 1 , BASIC HELIX-LOOP-HELIX 122","FBH3, AKS1, BHLH122","Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: FBH3 overexpressor is early flowering under both SD and LD conditions. [Ito et al., 2012] Remarks : FBH family members positively regulate the expression of CO.[Ito et al., 2012]","AT1G51140","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Ito S et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Takahashi Y et al., 2013, Sci SignalLiu W et al., 2014, New Phytol."
"FLOWERING BHLH 4, ABA-RESPONSIVE KINASE SUBSTRATE 3","FBH4, AKS3","Photoperiodism, light perception and  signaling","Positive","SD and LD","Overexpressor: FBH4 overexpressor is early flowering under both SD and LD conditions. [Ito et al., 2012] Remarks : FBH family members positively regulate the expression of CO.[Ito et al., 2012]","AT2G42280","Photoperiod pathwayTime-course regulation of photoperiodic pathway","Ito S et al., 2012, Proc. Natl. Acad. Sci. U.S.A.Takahashi Y et al., 2013, Sci Signal"
"FLOWERING LOCUS C, AGAMOUS-LIKE 25, FLOWERING LOCUS F","FLC, AGL25, FLF","Flowering time integrator","Negative","SD and LD","Single mutant: flc single mutant is early flowering under both SD and LD conditions, especially in the Col FRI background and other winter-accessions.  Overexpressor: FLC overexpressor is late flowering under both SD and LD conditions. [Sheldon et al., 1999][Michaels et al., 1999] Remarks: FLC interacts with SVP and binds to the promoter of FT and SOC1 to repress their expression.  Remarks: FLC and SVP have a subset of common targets: the FLC-SVP duplex binds to multiple flowering time genes, including gibberelin-related factors. However, FLC and SVP also have their own specific targets. [Mateos et al., 2015] Remarks: Antisense (COOLAIR) and alternative transcripts (COLDAIR) of FLC are involved in its regulation and are evolutionary-conserved. [ et al., ][Heo et al., 2011][Swiezewski et al., 2009][ et al., ][Liu et al., 2010]","AT5G10140","OverviewPhotoperiod pathwayVernalizationFLC regulation during a cold period","Sanda S L et al., 1996, Mol. Gen. Genet.Michaels S D et al., 1999, Plant CellSheldon C C et al., 1999, Plant CellMichaels S D et al., 2001, Plant CellSheldon C C et al., 2002, Plant CellMichaels S D et al., 2003, Proc. Natl. Acad. Sci. U.S.A.Lim M et al., 2004, Plant CellZhao Z et al., 2005, Nat. Cell Biol.Edwards K D et al., 2006, Plant CellDeal R B et al., 2007, Plant CellPien S et al., 2008, Plant CellSwiezewski S et al., 2009, NatureSun Q et al., 2013, ScienceYang H et al., 2014, Curr. Biol.Mateos J L et al., 2015, Genome Biol.Duncan S et al., 2015, ElifeBouché F et al., 2015, Plant Signal Behav"
"FLOWERING LOCUS D , REDUCED SYSTEMIC IMMUNITY 1","FLD, RSI1","General","Positive","SD and LD","Single mutant: fld single mutant is late flowering under both SD and LD conditions. [Martinez-Zapater et al., 1990][Sanda et al., 1996][Chou et al., 1998][He et al., 2003] Remarks: fld single mutant has increased FLC expression levels. [Martinez-Zapater et al., 1990][Sanda et al., 1996][Chou et al., 1998][He et al., 2003]","AT3G10390","FLC regulation through protein complexesGeneral processes & autonomous pathway","Martinez-Zapater J M et al., 1990, Plant Physiol.Sanda S L et al., 1996, Plant Physiol.Chou M L et al., 1998, Plant J.Yang C H et al., 1999, Plant Cell Physiol.He Y et al., 2003, ScienceZhang Y et al., 2013, Plant Cell"
"FLOWERING LOCUS KH DOMAIN","FLK","General","Positive","SD and LD","Single mutant: flk single mutant is late flowering under both SD and LD conditions. [Lim et al., 2004][Mockler et al., 2004] Remarks: flk single mutant has increased FLC expression levels. [Mockler et al., 2004][Lim et al., 2004] Overexpressor: FLK overexpressor is early flowering under LD conditions. (No data available under SD conditions). [Mockler et al., 2004]","AT3G04610","General processes & autonomous pathway","Lim M et al., 2004, Plant CellMockler T C et al., 2004, Proc. Natl. Acad. Sci. U.S.A.Lee J H et al., 2012, Plant Cell Physiol."
"FLOWERING LOCUS M, MADS AFFECTING FLOWERING 1, AGAMOUS-LIKE 27","FLM, MAF1, AGL27","Ambient temperature Vernalization","Negative","SD and LD","Single mutant: flm single mutant is early flowering under both SD and LD conditions. [Kim et al., 2013][Posé et al., 2013][Lee et al., 2013][Mathieu et al., 2009][Sung et al., 2006][Scortecci et al., 2001][Scortecci et al., 2003][Gu et al., 2013] Remarks: FLM is partially regulated through alternative splicing. FLM-beta, an alternatively spliced form of FLM, increases at low temperatures, thus repressing flowering. Conversely, the overexpression of the FLM-delta form leads to early flowering.[Posé et al., 2013][Lee et al., 2013] Overexpressor: Overexpression of the FLM-beta form leads to a late flowering-time phenotype under both SD and LD. [Posé et al., 2013][Scortecci et al., 2001][Ratcliffe et al., 2001]","AT1G77080","OverviewTemperature pathwayFLC regulation during a cold period","Ratcliffe O J et al., 2001, Plant Physiol.Scortecci K C et al., 2001, Plant J.Scortecci K et al., 2003, Plant Mol. Biol.Mathieu J et al., 2009, PLoS Biol.Posé D et al., 2013, NatureLee J H et al., 2013, Science"
"FLOWERING LOCUS T","FT","Flowering time integrator","Positive","SD and LD","Overexpressor: FT overexpressor is early flowering under both SD and LD conditions. [Kobayashi et al., 1999][Kardailsky et al., 1999] Single mutant: ft single mutant is late flowering under both SD and LD conditions. ( The late flowering-time phenotype of the ft single mutant is much stronger under LD than SD conditions.) [Koornneef et al., 1991][Kobayashi et al., 1999][Yamaguchi et al., 2005] Remarks: FT is expressed in phloem companion cells and its protein moves to the shoot apical meristem through the phloem.  Multiple mutant: ft;tsf double mutant flowers later under LD conditions than either single mutants. (The mutation of FT has a stronger effect on flowering time than tsf mutation.) [Michaels et al., 2005][Yamaguchi et al., 2005][Jang et al., 2009] Remarks: The RNA-directed DNA methylation of the FT body blocks the binding of FLC - a repressor of flowering - to the CArG boxes, thus relieving FT expression.","AT1G65480","OverviewTemperature pathwayHormone pathwayAging pathwayCircadian clock overviewPhotoperiod pathwayTime-course regulation of photoperiodic pathwaySugar pathwaySpecification of flower mersitemsVernalization","Koornneef M et al., 1991, Mol. Gen. Genet.Kardailsky I et al., 1999, ScienceKobayashi Y et al., 1999, ScienceYoo S K et al., 2005, Plant Physiol.Hanzawa Y et al., 2005, Proc. Natl. Acad. Sci. U.S.A.Teper-Bamnolker P et al., 2005, Plant CellHelliwell C A et al., 2006, Plant J.Corbesier L et al., 2007, ScienceJaeger K E et al., 2007, Curr. Biol.Mathieu J et al., 2007, Curr. Biol.Franks S J et al., 2007, Proc. Natl. Acad. Sci. U.S.A.Notaguchi M et al., 2008, Plant Cell Physiol.Niwa M et al., 2013, Plant Cell"
"FLOWERING PROMOTING FACTOR 1","FPF1","Hormones","Positive","SD and LD","Overexpressor: FPF1 overexpressor is early flowering under both SD and LD conditions. [Melzer et al., 1999][Kania et al., 1997] Remarks: Remarks","AT5G24860","Hormone pathway","Kania T et al., 1997, Plant CellMelzer S et al., 1999, Plant J.Chandler J W et al., 2004, J. Exp. Bot.Xu M et al., 2005, Plant Cell Rep."
"FLOWERING WAGENINGEN, HOMEODOMAIN GLABROUS 6","FWA, HDG6","General","Positive","SD and LD","Overexpressor: FWA overexpressor is late flowering under both SD and LD conditions. [Ikeda et al., 2007] Remarks:The first fwa mutant identified is dominant and its phenotype is the consequence of an increase in FWA expression, which was caused by epigenetic changes. FWA is not expressed in mature wild-type plants.","AT4G25530","General processes & autonomous pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Ruiz-García L et al., 1997, Plant CellSoppe W J et al., 2000, Mol. CellKinoshita T et al., 2004, ScienceJiang D et al., 2007, Plant CellFujimoto R et al., 2011, Plant J."
"FLX-LIKE 4, FLOWERING LOCUS C EXPRESSOR-LIKE 4","FLX4, FLL4","Vernalization","Negative","SD and LD","Single mutant: flx4 mutation supresses the late-flowering phenotype of non-vernalized Col FRI plants. [Ding et al., 2013][Lee et al., 2013] Remarks: flx4 mutation has only very little or no effect on the flowering time of the Col-0 background. [Ding et al., 2013][Lee et al., 2013] Remarks: flx single mutant has reduced FLC expression levels. [Lee et al., 2013]","AT5G61920","FLC regulation through protein complexes","Ding L et al., 2013, Plant Physiol.Lee J et al., 2013, Nat Commun"
"FPA","FPA","General","Positive","SD and LD","Single mutant: fpa single mutant is late flowering under both SD and LD conditions.[Koornneef et al., 1991][Schomburg et al., 2001][Sanda et al., 1996] Overexpressor: FPA overexpressor is early flowering under SD conditions only. ( Analysis performed in the Ler background). [Schomburg et al., 2001] Remarks: fpa mutant has increased FLC expression level. FPA acts together with FCA to prevent the expression of distally polyadenylated antisense RNAs at the FLC locus. [Michaels et al., 2001][Duc et al., 2013]","AT2G43410","VernalizationGeneral processes & autonomous pathway","Koornneef M et al., 1991, Mol. Gen. Genet.Sanda S L et al., 1996, Mol. Gen. Genet.Michaels S D et al., 2001, Plant CellSchomburg F M et al., 2001, Plant CellBäurle I et al., 2007, ScienceDuc C et al., 2013, PLoS Genet."
